U_LED,I,err_u,err_I
0.014450000000000001,2.9545454545454545e-05,0.004849999999999999,0.0
0.025799999999999997,4.409090909090909e-05,0.003200000000000001,1.4545454545454543e-05
0.06455,7.272727272727273e-06,0.009650000000000002,7.272727272727272e-06
0.09035000000000001,3.659090909090909e-05,0.0032499999999999955,2.204545454545454e-05
0.1242,1.4772727272727273e-05,0.011300000000000004,1.477272727272727e-05
0.1548,0.0,0.0,0.0
0.1742,4.3863636363636363e-05,0.009699999999999986,2.9318181818181817e-05
0.18385,7.272727272727273e-06,0.006449999999999997,7.272727272727272e-06
0.24839999999999998,1.4545454545454546e-05,0.0,0.0
0.26444999999999996,3.681818181818182e-05,0.006449999999999983,7.272727272727272e-06
0.28225,2.9318181818181817e-05,0.02745,2.9318181818181814e-05
0.30485,0.0,0.0016499999999999846,0.0
0.34835,5.136363636363636e-05,0.00645000000000001,7.2727272727272715e-06
0.38385,2.2045454545454546e-05,0.00645000000000001,7.499999999999999e-06
0.40805,3.659090909090909e-05,0.00485000000000002,2.204545454545454e-05
0.45165,2.931818181818182e-05,0.0032500000000000025,1.477272727272727e-05
0.47415,2.2045454545454546e-05,0.00645000000000001,2.2045454545454546e-05
0.5113000000000001,7.272727272727273e-06,0.00159999999999999,7.272727272727272e-06
0.5274000000000001,7.272727272727273e-06,0.014500000000000011,7.272727272727272e-06
0.5645,2.2045454545454546e-05,0.006500000000000005,7.499999999999999e-06
0.57575,2.9545454545454545e-05,0.014550000000000006,0.0
0.6274500000000001,7.272727272727273e-06,0.008049999999999946,7.272727272727272e-06
0.66935,0.0,0.00485000000000002,0.0
0.7129,2.2045454545454546e-05,0.03229999999999999,2.2045454545454546e-05
0.6936,7.272727272727273e-06,0.02579999999999999,7.272727272727272e-06
0.7467000000000001,2.9545454545454545e-05,0.00159999999999999,0.0
0.7726,0.0,0.00159999999999999,0.0
0.81455,0.0,0.00485000000000002,0.0
0.84355,1.4772727272727273e-05,0.00485000000000002,1.477272727272727e-05
0.85805,3.659090909090909e-05,0.00645000000000001,3.659090909090909e-05
0.92255,1.4772727272727273e-05,0.02904999999999996,1.477272727272727e-05
0.9290499999999999,7.272727272727273e-06,0.00964999999999999,7.272727272727272e-06
0.9580500000000001,1.4772727272727273e-05,4.9999999999938975e-05,1.477272727272727e-05
0.98385,3.659090909090909e-05,0.0032499999999999747,2.204545454545454e-05
