U_LED,I,err_u,err_I,Power,Resistance,err_Resistance,err_power,Voltage_ch0,error voltagech0
4.013999999999999,0.0036170212765957444,0.5953956667628678,0.002032134578992114,0.014518723404255316,1109.7529411764706,644.8510181798288,0.008436484574647825,0.0,0.5953956667628678
3.279000000000001,0.0036170212765957452,0.57015874982324,0.0019305897289100993,0.011860212765957452,906.5470588235295,508.8994929421128,0.006657852125861052,0.029999999999999995,0.57015874982324
3.372,0.002553191489361702,0.5806582471643712,0.001446530358466038,0.00860936170212766,1320.7,782.0512294758516,0.005098025217044936,0.05999999999999999,0.5806582471643712
3.705,0.006595744680851064,0.5448715444946634,0.002424868226564363,0.024437234042553192,561.7258064516129,222.42349459287936,0.00967627787703744,0.08999999999999998,0.5448715444946634
3.8999999999999995,0.002978723404255319,0.582614795555348,0.0023134051674184525,0.011617021276595743,1309.2857142857142,1035.4881551874591,0.00918767217821376,0.11999999999999998,0.582614795555348
3.198,0.002127659574468085,0.601202129071413,0.0012686910510637103,0.006804255319148936,1503.06,939.7394899013236,0.004254139836583629,0.15000000000000002,0.601202129071413
3.2820000000000005,0.0006382978723404255,0.5787953006028989,0.0004541222863427552,0.002094893617021277,5141.800000000001,3768.885845910722,0.0015355352020460162,0.17999999999999997,0.5787953006028989
3.45,0.004680851063829787,0.514820357017863,0.003120567375886524,0.016148936170212767,737.0454545454546,503.52237305336223,0.011032359826067328,0.20999999999999994,0.514820357017863
3.453,0.0010638297872340426,0.5760286451210564,0.0006538684012264459,0.003673404255319149,3245.8199999999997,2067.173574869803,0.0023394902386484864,0.23999999999999996,0.5760286451210564
3.396,0.0006382978723404255,0.5576342887592189,0.0003250053684365844,0.002167659574468085,5320.400000000001,2846.3989416128616,0.0011596917371894863,0.27,0.5576342887592189
3.324,0.0023404255319148934,0.5011746202672278,0.0023404255319148934,0.0077795744680851054,1420.2545454545455,1436.307126851576,0.007867503954234524,0.30000000000000004,0.5011746202672278
3.6630000000000003,0.0019148936170212765,0.5986392903911336,0.0008657131642364328,0.007014255319148936,1912.9000000000003,919.5828033453568,0.0033719423753270205,0.33000000000000007,0.5986392903911336
3.5759999999999996,0.00425531914893617,0.6318195945046338,0.002497420831440994,0.015217021276595744,840.3599999999999,515.0669507355329,0.00932669897212373,0.35999999999999993,0.6318195945046338
3.18,0.001276595744680851,0.5926044211782425,0.001061463088446508,0.004059574468085106,2491.0000000000005,2122.597581551877,0.0034591902641859466,0.38999999999999996,0.5926044211782425
3.3540000000000005,0.0036170212765957444,0.6228129735321832,0.0024372823088566783,0.012131489361702129,927.2823529411767,648.1284918398537,0.008479363247701118,0.4199999999999999,0.6228129735321832
3.804,0.0006382978723404255,0.5754963075467991,0.0006382978723404255,0.0024280851063829783,5959.6,6027.415228953637,0.0024557146700127986,0.4499999999999999,0.5754963075467991
3.249,0.004893617021276596,0.5877422904641114,0.002784083181048301,0.015899361702127662,663.9260869565217,396.3567041580639,0.009491747238552097,0.4799999999999999,0.5877422904641114
3.2879999999999994,0.0006382978723404255,0.5815530930190295,0.0004541222863427552,0.0020987234042553187,5151.199999999999,3776.4174941174797,0.001538603777594265,0.51,0.5815530930190295
3.537,0.004893617021276596,0.5660998145203723,0.002942194115275396,0.017308723404255322,722.7782608695651,449.6906269374571,0.010768960690353772,0.54,0.5660998145203723
3.3390000000000004,0.005106382978723404,0.5127192214068047,0.002179048439111662,0.01705021276595745,653.8875000000002,296.5492049106855,0.007732564147965361,0.5699999999999998,0.5127192214068047
3.738,0.000851063829787234,0.5881870450800493,0.0004704432326745248,0.003181276595744681,4392.15,2524.304489235599,0.0018283780818365589,0.6000000000000001,0.5881870450800493
3.642,0.004468085106382979,0.5877618565371522,0.001661755250192905,0.016272765957446807,815.1142857142856,330.46517404894195,0.006597335525377249,0.6299999999999999,0.5877618565371522
3.342,0.0010638297872340426,0.6200032257980599,0.0006538684012264459,0.00355531914893617,3141.48,2016.905847440579,0.0022826005516529864,0.6600000000000001,0.6200032257980599
3.4379999999999997,0.0029787234042553193,0.5644856065481209,0.0018817729306980992,0.010240851063829787,1154.185714285714,753.3671416602117,0.0066844707906474204,0.6899999999999998,0.5644856065481209
3.267,0.0006382978723404255,0.5586850633406982,0.0003250053684365844,0.0020853191489361702,5118.3,2749.1665609780725,0.0011200769148394137,0.7199999999999999,0.5586850633406982
3.75,0.0014893617021276594,0.568278100932985,0.0008421519210665188,0.005585106382978723,2517.857142857143,1473.9521808402,0.003269518191995011,0.7499999999999999,0.568278100932985
3.2429999999999994,0.004042553191489362,0.5821589130125896,0.0028092627404735257,0.013109999999999998,802.2157894736841,575.7777989184149,0.009409496849685277,0.7799999999999999,0.5821589130125896
3.4589999999999996,0.0019148936170212765,0.5445741455486112,0.0008657131642364328,0.006623617021276595,1806.3666666666666,864.7497096932561,0.003170879424407141,0.8099999999999999,0.5445741455486112
3.4050000000000002,0.0027659574468085106,0.6041564366950004,0.0020072300280971496,0.00941808510638298,1231.0384615384617,919.6684416603867,0.007035942355844515,0.8399999999999997,0.6041564366950004
3.696,0.003829787234042553,0.5995631743194373,0.002473134152363502,0.014154893617021276,965.0666666666667,642.566838962823,0.009424701485919177,0.8699999999999998,0.5995631743194373
3.4530000000000003,0.0017021276595744679,0.5210076774866182,0.0008858153189217587,0.005877446808510638,2028.6375000000005,1099.2141387030147,0.0031846855987774066,0.8999999999999998,0.5210076774866182
3.345,0.0023404255319148934,0.5763722755303208,0.0016917532541668883,0.00782872340425532,1429.227272727273,1062.0495051245455,0.00581747352286419,0.9299999999999998,0.5763722755303208
