U_LED,I,err_u,err_I
0.9969999999999999,2.727272727272727e-05,0.013000000000000123,6.363636363636364e-05
1.028,2.2727272727272726e-05,0.01200000000000001,6.81818181818182e-05
1.053,1.8181818181818182e-05,0.017000000000000126,7.272727272727273e-05
1.081,2.727272727272727e-05,0.019000000000000128,1.818181818181819e-05
1.111,3.6363636363636364e-05,0.018999999999999906,0.0001
1.1480000000000001,4.090909090909091e-05,0.011999999999999789,9.545454545454546e-05
1.1829999999999998,4.5454545454545455e-06,0.017000000000000126,4.0909090909090915e-05
1.203,4.5454545454545455e-06,0.016999999999999904,4.0909090909090915e-05
1.2389999999999999,1.8181818181818182e-05,0.01100000000000012,0.0001181818181818182
1.266,9.090909090909091e-06,0.014000000000000012,3.6363636363636364e-05
1.286,1.8181818181818182e-05,0.02400000000000002,7.272727272727273e-05
1.3170000000000002,7.727272727272727e-05,0.02299999999999991,0.0002863636363636364
1.3639999999999999,9.090909090909091e-06,0.03600000000000003,3.6363636363636364e-05
1.394,9.090909090909091e-06,0.05600000000000005,3.6363636363636364e-05
1.41,4.9999999999999996e-05,0.010000000000000009,0.00022272727272727274
1.4489999999999998,1.3636363636363637e-05,0.01100000000000012,3.181818181818182e-05
1.4779999999999998,2.2727272727272726e-05,0.02200000000000024,6.81818181818182e-05
1.5170000000000001,4.5454545454545455e-06,0.052999999999999936,4.0909090909090915e-05
1.5329999999999997,3.6363636363636364e-05,0.007000000000000339,5.454545454545455e-05
1.5629999999999997,6.363636363636363e-05,0.037000000000000366,0.00034545454545454544
1.5919999999999999,4.545454545454545e-05,0.018000000000000238,0.00022727272727272727
1.6199999999999997,4.5454545454545445e-05,0.02000000000000024,9.090909090909093e-05
1.642,5.909090909090908e-05,0.008000000000000007,3.1818181818181834e-05
1.6679999999999997,8.636363636363635e-05,0.02200000000000024,9.545454545454549e-05
1.691,0.0001409090909090909,0.018999999999999906,4.0909090909090935e-05
1.712,0.00017727272727272725,0.018000000000000016,5.000000000000002e-05
1.7179999999999997,0.0002409090909090909,0.03200000000000025,3.181818181818185e-05
1.744,0.0003045454545454545,0.03600000000000003,5.909090909090919e-05
1.7449999999999999,0.0004363636363636364,0.015000000000000124,6.363636363636359e-05
1.7609999999999997,0.0005,0.04900000000000038,4.5454545454545465e-05
1.7589999999999997,0.0006318181818181817,0.05100000000000038,5.000000000000002e-05
1.7659999999999998,0.00075,0.04400000000000026,0.00015909090909090907
1.773,0.000840909090909091,0.017000000000000126,6.818181818181814e-05
1.7759999999999998,0.0009681818181818184,0.014000000000000234,3.1818181818181576e-05
