U_LED,I
0.9931777777777778,3.5858585858585855e-05
1.035111111111111,1.4747474747474747e-05
1.0627,2.4545454545454545e-05
1.0856222222222223,3.429292929292929e-05
1.1089444444444445,6.035353535353535e-05
1.1505222222222222,1.7979797979797978e-05
1.1731222222222222,2.121212121212121e-05
1.2035888888888888,1.9595959595959596e-05
1.2401555555555557,1.6313131313131312e-05
1.2630666666666666,4.893939393939394e-05
1.2949888888888892,1.1414141414141415e-05
1.3089555555555554,9.449494949494951e-05
1.3598444444444444,1.303030303030303e-05
1.3885111111111113,1.9595959595959596e-05
1.4136111111111112,1.308080808080808e-05
1.449466666666667,1.1414141414141413e-05
1.4702444444444445,4.565656565656565e-05
1.517211111111111,1.7929292929292927e-05
1.533688888888889,2.4444444444444445e-05
1.5569777777777778,5.222222222222222e-05
1.5953444444444447,6.686868686868687e-05
1.6097000000000001,0.00010262626262626263
1.6465777777777777,8.151515151515151e-05
1.6533666666666669,0.00016136363636363635
1.675988888888889,0.0001971717171717172
1.6680888888888887,0.00034212121212121217
1.6906666666666668,0.0003877777777777778
1.7025000000000001,0.0004709090909090909
1.716477777777778,0.0005637373737373738
1.7157777777777778,0.000650050505050505
1.7258111111111112,0.0008064646464646466
1.7444555555555554,0.0008764646464646465
1.7401444444444447,0.0009758585858585858
1.7415777777777777,0.001085050505050505
1.7394444444444446,0.0012072222222222224
1.7505666666666668,0.0013603535353535353
1.7695444444444444,0.0013636363636363635
1.7745222222222223,0.0015119696969696967
1.7612888888888887,0.0016747979797979797
1.775288888888889,0.0017464141414141414
1.7766666666666668,0.001847626262626263
1.7670222222222223,0.0020056060606060606
1.7791999999999997,0.0021130808080808083
1.7548444444444442,0.0022417171717171716
1.784933333333333,0.002355909090909091
1.7978444444444444,0.0024519696969696973
1.7935666666666668,0.0025545454545454543
1.7953333333333332,0.0027076767676767685
1.8086222222222221,0.0027468181818181814
1.7942666666666667,0.0029374242424242423
1.8057555555555556,0.0030448484848484845
1.8046555555555555,0.00319489898989899
1.7942666666666667,0.003304040404040404
1.8211333333333335,0.0033675757575757576
1.8125444444444445,0.00354510101010101
1.8093111111111113,0.0036184848484848483
1.807866666666667,0.0037716666666666667
1.8197222222222225,0.0039019191919191926
1.8219000000000003,0.0040142424242424245
1.8254444444444442,0.004108838383838384
1.824011111111111,0.004244090909090909
1.8118222222222224,0.004351616161616161
1.8308111111111112,0.0044786363636363635
1.8387000000000002,0.004576464646464646
1.843733333333333,0.004661161616161617
1.8344222222222224,0.004819141414141414
1.8344222222222222,0.004851717171717172
