U_LED,I,err_u,err_I
1.95,0.0,0.07000000000000005,0.0
0.59,0.0,0.13999999999999999,0.0
1.915,0.0,0.48499999999999993,0.0
0.7150000000000001,0.0,0.37499999999999994,0.0
1.6750000000000003,2.272727272727273e-05,0.8050000000000002,2.272727272727273e-05
1.12,0.0,0.5899999999999999,0.0
1.255,0.0,0.745,0.0
1.3099999999999998,0.0,0.9699999999999999,0.0
1.63,2.272727272727273e-05,0.8099999999999999,2.272727272727273e-05
1.0,2.272727272727273e-05,0.5,2.272727272727273e-05
1.795,0.0,0.7349999999999998,0.0
0.725,0.0,0.24499999999999997,0.0
1.95,0.00018181818181818183,0.32000000000000006,0.00018181818181818183
0.395,0.0,0.09499999999999999,0.0
1.5300000000000002,0.0001590909090909091,0.6699999999999999,0.00011363636363636364
1.3150000000000002,0.00025,1.0950000000000002,0.00025
1.54,4.545454545454546e-05,0.8999999999999999,4.545454545454546e-05
1.13,2.272727272727273e-05,0.7899999999999999,2.272727272727273e-05
1.5900000000000003,2.272727272727273e-05,0.8100000000000002,2.272727272727273e-05
1.185,0.0,0.955,0.0
1.08,0.0,0.57,0.0
1.78,0.0,0.6300000000000001,0.0
0.755,0.0,0.42499999999999993,0.0
1.1,0.0,0.49000000000000005,0.0
1.4249999999999998,0.0,0.8949999999999999,0.0
0.88,0.0,0.5599999999999999,0.0
1.1949999999999998,0.00018181818181818183,0.9749999999999999,0.00018181818181818183
1.5450000000000002,0.0,0.905,0.0
0.915,0.0,0.5249999999999999,0.0
1.8,0.0,0.67,0.0
0.54,0.00022727272727272727,0.16999999999999996,0.00022727272727272727
1.5550000000000002,2.272727272727273e-05,0.7549999999999999,2.272727272727273e-05
1.8650000000000002,0.0,0.335,0.0
0.545,9.090909090909092e-05,0.21499999999999997,9.090909090909092e-05
