U_LED,I,err_u,err_I
0.9949999999999999,4.5454545454545455e-06,0.004281744192888379,4.5454545454545455e-06
1.021,3.181818181818182e-05,0.007218802609235911,2.7146171010861993e-05
1.049,4.5454545454545455e-06,0.0037859388972001857,4.5454545454545455e-06
1.082,0.0,0.002905932629027118,0.0
1.112,1.3636363636363637e-05,0.002494438257849296,6.943296507508849e-06
1.1439999999999997,4.5454545454545455e-06,0.0033993463423951753,4.5454545454545455e-06
1.1749999999999998,0.0,0.0022360679774997916,0.0
1.202,1.3636363636363637e-05,0.0013333333333333344,6.943296507508849e-06
1.23,4.5454545454545455e-06,0.002981423969999722,4.5454545454545455e-06
1.254,9.090909090909091e-06,0.0033993463423951926,9.090909090909091e-06
1.291,4.5454545454545455e-06,0.001795054935711503,4.5454545454545455e-06
1.315,1.8181818181818182e-05,0.004013864859597435,1.0050378152592119e-05
1.348,4.5454545454545455e-06,0.002905932629027118,4.5454545454545455e-06
1.3739999999999999,9.090909090909091e-06,0.002666666666666649,9.090909090909091e-06
1.409,9.090909090909091e-06,0.004818944098266991,6.060606060606061e-06
1.4409999999999998,9.090909090909091e-06,0.0023333333333333353,6.060606060606061e-06
1.463,2.2727272727272726e-05,0.004725815626252613,1.8244840270897418e-05
1.4999999999999998,1.3636363636363637e-05,0.002981423969999722,9.701703390049774e-06
1.531,0.0,0.0017950549357115026,0.0
1.5539999999999998,1.8181818181818182e-05,0.0026666666666666687,7.422696190252055e-06
1.594,4.5454545454545455e-06,0.0022110831935702687,4.5454545454545455e-06
1.616,3.1818181818181814e-05,0.004268749491621883,6.943296507508849e-06
1.6369999999999996,5.909090909090908e-05,0.006506407098647717,2.4478021850611386e-05
1.6589999999999996,9.090909090909089e-05,0.006574360974438679,6.77596356818118e-06
1.6809999999999996,0.0001318181818181818,0.005044248650140523,2.0829889522526543e-05
1.6979999999999997,0.00019545454545454545,0.004163331998932269,1.9225117485529575e-05
1.711,0.0002681818181818182,0.001795054935711503,8.159340616870463e-06
1.7239999999999998,0.0003636363636363636,0.007023769168568498,6.775963568181179e-06
1.7349999999999999,0.00044090909090909093,0.005217491947499513,1.1833711630161596e-05
1.732,0.0005545454545454546,0.006110100926607779,2.1212121212121208e-05
1.7379999999999998,0.0006590909090909091,0.005537749241945387,7.5757575757575595e-06
1.7449999999999999,0.000759090909090909,0.010461569884316797,9.701703390049767e-06
1.7609999999999997,0.0008454545454545455,0.003480102169636853,1.388659301501769e-05
1.759,0.0009545454545454548,0.0037859388972001857,6.775963568181181e-06
